geoid,st,cnty,state,county,All Renter Households,All Cost-Burdened Renter Households,% All Renter Households Cost-Burdened,All Severely Cost-Burdened Renter Households,% All Renter Households Severely Cost-Burdened,ELI Renter Households,ELI Cost-Burdened Renter Households,% ELI Renter Households Cost-Burdened,ELI Severely Cost-Burdened Renter Households,% ELI Renter Households Severely Cost-Burdened,VLI Renter Households,VLI Cost-Burdened Renter Households,% VLI Renter Households Cost-Burdened,VLI Severely Cost-Burdened Renter Households,% VLI Renter Households Severely Cost-Burdened,LI Renter Households,LI Cost-Burdened Renter Households,% LI Renter Households Cost-Burdened,LI Severely Cost-Burdened Renter Households,% LI Renter Households Severely Cost-Burdened,NLI Renter Households,NLI Cost-Burdened Renter Households,% NLI Renter Households Cost-Burdened,NLI Severely Cost-Burdened Renter Households,% NLI Renter Households Severely Cost-Burdened,Renter Households At or Below 30% HAMFI (ELI),Units Affordable At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable At or Below 30% HAMFI (ELI),Affordable Units per 100 Households At or Below 30% HAMFI (ELI),Affordable and Available Units At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable and Available At or Below 30% HAMFI (ELI),Affordable and Available Units per 100 Households At or Below 30% HAMFI (ELI),Renter Households At or Below 50% HAMFI (VLI),Units Affordable At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable At or Below 50% HAMFI (VLI),Affordable Units per 100 Households At or Below 50% HAMFI (VLI),Affordable and Available Units At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable and Available At or Below 50% HAMFI (VLI),Affordable and Available Units per 100 Households At or Below 50% HAMFI (VLI),Renter Households At or Below 80% HAMFI (LI),Units Affordable to LI Renter Households,Deficit or Surplus of Units Affordable to LI Renter Households,Units Affordable to LI Renter Households per 100 LI Renter Households,Units Affordable and Available to LI Renter Households,Deficit or Surplus of Units Affordable and Available to LI Renter Households,Units Affordable and Available to LI Renter Households per 100 LI Renter Households,FMR_0BR,FMR_1BR,FMR_2BR,FMR_3BR,FMR_4BR,state_clean,2020 Weighted RS Means Index,Ratio of State Costs to National Avg. of State Avgs.
0500000US01001,1,1,Alabama,Autauga County,5630,1739,0.308880995,1095,0.194493783,805,620,0.770186335,595,0.739130435,810,395,0.487654321,240,0.296296296,1075,625,0.581395349,185,0.172093023,2940,99,0.033673469,75,0.025510204,805,1080,275,1.341614907,295,-510,0.366459627,1615,2045,430,126.625387,1070,-545,66.25386997,2690,4365,1675,162.267658,2305,-385,85.68773234,860.0,870.0,1016.0,1304.0,1537.0,alabama,0.829,0.879
0500000US01003,1,3,Alabama,Baldwin County,19950,7730,0.387468672,3565,0.178696742,3865,3070,0.794307891,2545,0.65847348,3455,2055,0.594790159,790,0.228654124,4940,2165,0.438259109,215,0.043522267,7685,440,0.057254392,15,0.001951854,3865,5310,1445,1.373868047,2880,-985,0.745148771,7320,15840,8520,216.3934426,11850,4530,161.8852459,12260,30405,18145,248.0016313,24550,12290,200.2446982,1094.0,1200.0,1345.0,1692.0,2171.0,alabama,0.829,0.879
0500000US01005,1,5,Alabama,Barbour County,3435,1419,0.413100437,729,0.212227074,1130,815,0.721238938,590,0.522123894,805,435,0.540372671,135,0.167701863,690,169,0.244927536,4,0.005797101,810,0,0.0,0,0.0,1130,1160,30,1.026548673,645,-485,0.57079646,1935,2400,465,124.0310078,1510,-425,78.03617571,2625,3370,745,128.3809524,2650,25,100.952381,576.0,693.0,776.0,1017.0,1068.0,alabama,0.829,0.879
0500000US01007,1,7,Alabama,Bibb County,1505,580,0.38538206,330,0.219269103,695,470,0.676258993,270,0.388489209,275,110,0.4,60,0.218181818,185,0,0.0,0,0.0,350,0,0.0,0,0.0,695,665,-30,0.956834532,410,-285,0.589928058,970,1255,285,129.3814433,755,-215,77.83505155,1155,1455,300,125.974026,1110,-45,96.1038961,1024.0,1155.0,1266.0,1583.0,1801.0,alabama,0.829,0.879
0500000US01009,1,9,Alabama,Blount County,4435,1708,0.385118377,988,0.222773393,1615,1205,0.746130031,955,0.591331269,810,450,0.555555556,25,0.030864198,1235,49,0.039676113,4,0.003238866,775,4,0.00516129,4,0.00516129,1615,1970,355,1.219814241,1135,-480,0.702786378,2425,4235,1810,174.6391753,2545,120,104.9484536,3660,4675,1015,127.7322404,3925,265,107.2404372,1024.0,1155.0,1266.0,1583.0,1801.0,alabama,0.829,0.879
0500000US01011,1,11,Alabama,Bullock County,1200,600,0.5,310,0.258333333,490,310,0.632653061,225,0.459183673,375,290,0.773333333,85,0.226666667,165,0,0.0,0,0.0,170,0,0.0,0,0.0,490,650,160,1.326530612,355,-135,0.724489796,865,830,-35,95.95375723,580,-285,67.05202312,1030,1170,140,113.592233,990,-40,96.11650485,576.0,708.0,776.0,930.0,1302.0,alabama,0.829,0.879
0500000US01013,1,13,Alabama,Butler County,1805,714,0.395567867,404,0.223822715,430,305,0.709302326,265,0.61627907,500,310,0.62,135,0.27,235,79,0.336170213,4,0.017021277,635,20,0.031496063,0,0.0,430,785,355,1.825581395,385,-45,0.895348837,930,1370,440,147.311828,925,-5,99.46236559,1165,2045,880,175.5364807,1485,320,127.4678112,622.0,638.0,837.0,1004.0,1139.0,alabama,0.829,0.879
0500000US01015,1,15,Alabama,Calhoun County,12855,5234,0.407156748,2874,0.223570595,3495,2675,0.765379113,2160,0.618025751,2165,1320,0.609699769,590,0.272517321,2595,1000,0.385356455,120,0.046242775,4600,239,0.051956522,4,0.000869565,3495,2985,-510,0.854077253,1520,-1975,0.43490701,5660,7710,2050,136.2190813,4525,-1135,79.94699647,8255,12865,4610,155.8449425,8595,340,104.1187159,753.0,757.0,962.0,1300.0,1361.0,alabama,0.829,0.879
0500000US01017,1,17,Alabama,Chambers County,4035,1270,0.314745973,530,0.131350682,540,410,0.759259259,315,0.583333333,690,500,0.724637681,175,0.253623188,855,335,0.391812865,40,0.046783626,1950,25,0.012820513,0,0.0,540,715,175,1.324074074,315,-225,0.583333333,1230,1800,570,146.3414634,965,-265,78.45528455,2085,3635,1550,174.3405276,2075,-10,99.52038369,691.0,770.0,1002.0,1265.0,1327.0,alabama,0.829,0.879
0500000US01019,1,19,Alabama,Cherokee County,2085,655,0.314148681,260,0.12470024,425,230,0.541176471,195,0.458823529,415,320,0.771084337,45,0.108433735,470,105,0.223404255,20,0.042553191,775,0,0.0,0,0.0,425,745,320,1.752941176,305,-120,0.717647059,840,1510,670,179.7619048,760,-80,90.47619048,1310,2125,815,162.2137405,1425,115,108.778626,627.0,682.0,844.0,1012.0,1259.0,alabama,0.829,0.879
